32		:	"0,00"	%																	
96	`	:	"1,20"	%																	
45	-	:	"1,60"	%																	
46	.	:	"1,60"	%																	
39	'	:	"1,92"	%																	
95	_	:	"2,56"	%																	
58	:	:	"3,20"	%																	
44	","	:	"3,68"	%																	
34	""""	:	"4,00"	%																	
61	=	:	"4,16"	%																	
94	^	:	"4,16"	%																	
59	;	:	"5,12"	%																	
60	<	:	"5,28"	%																	
43	+	:	"5,44"	%																	
33	!	:	"5,52"	%																	
42	*	:	"5,68"	%																	
63	?	:	"6,40"	%																	
47	/	:	"6,48"	%																	
99	c	:	"6,48"	%																	
76	L	:	"6,56"	%																	
92	\	:	"6,56"	%																	
122	z	:	"6,56"	%																	
114	r	:	"6,64"	%																	
115	s	:	"6,96"	%																	
55	7	:	"7,04"	%																	
84	T	:	"7,04"	%																	
105	i	:	"7,20"	%																	
118	v	:	"7,36"	%																	
74	J	:	"7,44"	%																	
116	t	:	"7,52"	%																	
67	C	:	"7,60"	%																	
123	{	:	"7,68"	%																	
51	3	:	"7,84"	%																	
70	F	:	"7,84"	%																	
41	)	:	"8,00"	%																	
73	I	:	"8,00"	%																	
108	l	:	"8,00"	%																	
40	(	:	"8,08"	%																	
120	x	:	"8,08"	%																	
90	Z	:	"8,32"	%																	
102	f	:	"8,32"	%																	
89	Y	:	"8,40"	%																	
53	5	:	"8,48"	%																	
83	S	:	"8,48"	%																	
50	2	:	"8,64"	%																	
101	e	:	"8,64"	%																	
97	a	:	"8,88"	%																	
106	j	:	"8,88"	%																	
111	o	:	"8,88"	%																	
49	1	:	"8,96"	%																	
52	4	:	"8,96"	%																	
91	[	:	"8,96"	%																	
110	n	:	"8,96"	%																	
117	u	:	"8,96"	%																	
121	y	:	"9,04"	%																	
69	E	:	"9,12"	%																	
93	]	:	"9,28"	%																	
80	P	:	"9,76"	%																	
54	6	:	"10,0"	0%																	
86	V	:	"10,0"	0%																	
57	9	:	"10,2"	4%																	
107	k	:	"10,3"	2%												32	32	32	32	32	32
88	X	:	"10,7"	2%												96	96	96	96	96	96
112	p	:	"10,8"	0%												45	45	45	45	45	45
75	K	:	"10,8"	8%												46	46	46	46	46	46
119	w	:	"10,8"	8%												39	39	39	39	39	39
71	G	:	"10,9"	6%												95	95	95	95	95	95
104	h	:	"10,9"	6%												58	58	58	58	58	58
113	q	:	"10,9"	6%																	
65	A	:	"11,1"	2%						32											
85	U	:	"11,1"	2%						96											
98	b	:	"11,1"	2%						45											
79	O	:	"11,2"	0%						46											
100	d	:	"11,2"	0%						39											
56	8	:	"11,7"	6%						95											
35	#	:	"11,8"	4%						58											
72	H	:	"11,8"	4%						44											
82	R	:	"11,8"	4%						34											
68	D	:	"12,0"	8%						61											
66	B	:	"12,2"	4%						94											
48	0	:	"12,6"	4%						59											
36	$	:	"12,8"	0%						60											
109	m	:	"12,8"	8%						43											
103	g	:	"12,9"	6%						33											
77	M	:	"13,2"	0%						42											
87	W	:	"13,6"	0%						63											
38	&	:	"13,8"	4%						47											
81	Q	:	"13,8"	4%						99											
37	%	:	"14,4"	0%						76											
78	N	:	"14,4"	8%						92											
64	@	:	"19,1"	2%						122											
										114											
										115											
										55											
										84											
										105											
										118											
										74											
										116											
										67											
										123											
										51											
										70											
										41											
										73											
										108											
										40											
										120											
										90											
										102											
										89											
										53											
										83											
										50											
										101											
										97											
										106											
										111											
										49											
										52											
										91											
										110											
										117											
										121											
										69											
										93											
										80											
										54											
										86											
										57											
										107											
										88											
										112											
										75											
										119											
										71											
										104											
										113											
										65											
										85											
										98											
										79											
										100											
										56											
										35											
										72											
										82											
										68											
										66											
										48											
										36											
										109											
										103											
										77											
										87											
										38											
										81											
										37											
										78											
										64											
